Nome do relatório: Relatório de indicadores sportify
Detalhes do relatório: Por dia
Relatório de entidade primária: Anúncio
Relatório de intervalo de datas: 2026-04-01 - 2026-04-09 (UTC)
Relatório de dados em: 2026-04-10 18:44:57 (UTC)

ID da campanha,Nome da campanha,ID do anúncio,Nome do anúncio,Formato publicitário,Data,Gasto,Impressões com streams,Frequência,Alcance,Cliques,CTR,Custo por clique,CPM
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/07,23.53,2754.00,1.00,2741.00,3.00,.11,-,8.54
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/08,11.05,1273.00,1.00,1273.00,0,.00,-,8.68
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/09,11.89,1351.00,1.00,1350.00,2.00,.15,-,8.80
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,774701c5-adbe-4054-af73-d65b77567702,Vídeo - Tributario,Vídeo,2026/04/10,.00,0,.00,0,0,.00,-,.00
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/01,18.48,2130.00,1.01,2114.00,3.00,.14,-,8.68
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/02,9.69,1164.00,1.01,1152.00,2.00,.17,-,8.33
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/03,15.86,1830.00,1.00,1829.00,1.00,.05,-,8.67
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/04,29.04,3373.00,1.01,3335.00,4.00,.12,-,8.61
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/05,12.98,1514.00,1.00,1514.00,0,.00,-,8.58
301647c6-5339-40e7-b62e-3ebb4e9e025f,Sportfy ads - Reconhecimento de marca,f39f8b82-f2c3-4c96-be70-683f6e86b9f6,Vídeo - Depósitos,Vídeo,2026/04/06,12.32,1387.00,1.01,1378.00,1.00,.07,-,8.88
